,year,country,word,frequency,count,freq_prop_headlines,word_len,freq_rank,hfreq_rank,word_type
3876,2005,India,elderly,0.0,86,0.0,7,8.0,8.0,ADJ
3877,2006,India,elderly,0.0,102,0.0,7,8.0,8.0,ADJ
3878,2007,India,elderly,0.0,248,0.0,7,8.0,8.0,ADJ
3879,2008,India,elderly,1.0,684,0.0014619883040935672,7,8.0,8.0,ADJ
3880,2009,India,elderly,0.0,1178,0.0,7,8.0,8.0,ADJ
3881,2010,India,elderly,0.0,1584,0.0,7,8.0,8.0,ADJ
3882,2011,India,elderly,1.0,2438,0.00041017227235438887,7,8.0,8.0,ADJ
3883,2012,India,elderly,4.0,3634,0.001100715465052284,7,8.0,8.0,ADJ
3884,2013,India,elderly,5.0,4910,0.0010183299389002036,7,8.0,8.0,ADJ
3885,2014,India,elderly,6.0,7502,0.0007997867235403892,7,8.0,8.0,ADJ
3886,2015,India,elderly,13.0,10532,0.0012343334599316368,7,8.0,8.0,ADJ
3887,2016,India,elderly,28.0,14012,0.0019982871824150727,7,8.0,8.0,ADJ
3888,2017,India,elderly,38.0,17097,0.002222612154179096,7,8.0,8.0,ADJ
3889,2018,India,elderly,44.0,19170,0.0022952529994783514,7,8.0,8.0,ADJ
3890,2019,India,elderly,56.0,20849,0.002685980142932515,7,8.0,8.0,ADJ
3891,2020,India,elderly,62.0,21942,0.0028256312095524564,7,8.0,8.0,ADJ
3892,2021,India,elderly,70.0,12622,0.005545872286483917,7,8.0,8.0,ADJ
13430,2005,India,troll,0.0,86,0.0,5,12.0,12.0,NOUN
13431,2006,India,troll,0.0,102,0.0,5,12.0,12.0,NOUN
13432,2007,India,troll,0.0,248,0.0,5,12.0,12.0,NOUN
13433,2008,India,troll,0.0,684,0.0,5,12.0,12.0,NOUN
13434,2009,India,troll,0.0,1178,0.0,5,12.0,12.0,NOUN
13435,2010,India,troll,0.0,1584,0.0,5,12.0,12.0,NOUN
13436,2011,India,troll,0.0,2438,0.0,5,12.0,12.0,NOUN
13437,2012,India,troll,1.0,3634,0.000275178866263071,5,12.0,12.0,NOUN
13438,2013,India,troll,2.0,4910,0.0004073319755600815,5,12.0,12.0,NOUN
13439,2014,India,troll,3.0,7502,0.0003998933617701946,5,12.0,12.0,NOUN
13440,2015,India,troll,8.0,10532,0.0007595898214963919,5,12.0,12.0,NOUN
13441,2016,India,troll,35.0,14012,0.002497858978018841,5,12.0,12.0,NOUN
13442,2017,India,troll,72.0,17097,0.004211265134234076,5,12.0,12.0,NOUN
13443,2018,India,troll,61.0,19170,0.003182055294731351,5,12.0,12.0,NOUN
13444,2019,India,troll,83.0,20849,0.003981006283274977,5,12.0,12.0,NOUN
13445,2020,India,troll,76.0,21942,0.0034636769665481724,5,12.0,12.0,NOUN
13446,2021,India,troll,58.0,12622,0.004595151323086674,5,12.0,12.0,NOUN
3638,2005,India,dream,0.0,86,0.0,5,14.0,14.0,NOUN
3639,2006,India,dream,1.0,102,0.00980392156862745,5,14.0,14.0,NOUN
3640,2007,India,dream,0.0,248,0.0,5,14.0,14.0,NOUN
3641,2008,India,dream,2.0,684,0.0029239766081871343,5,14.0,14.0,NOUN
3642,2009,India,dream,1.0,1178,0.0008488964346349745,5,14.0,14.0,NOUN
3643,2010,India,dream,0.0,1584,0.0,5,14.0,14.0,NOUN
3644,2011,India,dream,10.0,2438,0.004101722723543888,5,14.0,14.0,NOUN
3645,2012,India,dream,17.0,3634,0.004678040726472207,5,14.0,14.0,NOUN
3646,2013,India,dream,12.0,4910,0.002443991853360489,5,14.0,14.0,NOUN
3647,2014,India,dream,16.0,7502,0.0021327645961077045,5,14.0,14.0,NOUN
3648,2015,India,dream,50.0,10532,0.00474743638435245,5,14.0,14.0,NOUN
3649,2016,India,dream,52.0,14012,0.003711104767342278,5,14.0,14.0,NOUN
3650,2017,India,dream,71.0,17097,0.004152775340703047,5,14.0,14.0,NOUN
3651,2018,India,dream,61.0,19170,0.003182055294731351,5,14.0,14.0,NOUN
3652,2019,India,dream,126.0,20849,0.006043455321598158,5,14.0,14.0,NOUN
3653,2020,India,dream,75.0,21942,0.003418102269619907,5,14.0,14.0,NOUN
3654,2021,India,dream,54.0,12622,0.004278244335287593,5,14.0,14.0,NOUN
6528,2005,India,journalist,0.0,86,0.0,10,18.0,18.0,NOUN
6529,2006,India,journalist,0.0,102,0.0,10,18.0,18.0,NOUN
6530,2007,India,journalist,0.0,248,0.0,10,18.0,18.0,NOUN
6531,2008,India,journalist,0.0,684,0.0,10,18.0,18.0,NOUN
6532,2009,India,journalist,1.0,1178,0.0008488964346349745,10,18.0,18.0,NOUN
6533,2010,India,journalist,0.0,1584,0.0,10,18.0,18.0,NOUN
6534,2011,India,journalist,1.0,2438,0.00041017227235438887,10,18.0,18.0,NOUN
6535,2012,India,journalist,1.0,3634,0.000275178866263071,10,18.0,18.0,NOUN
6536,2013,India,journalist,5.0,4910,0.0010183299389002036,10,18.0,18.0,NOUN
6537,2014,India,journalist,9.0,7502,0.0011996800853105837,10,18.0,18.0,NOUN
6538,2015,India,journalist,17.0,10532,0.0016141283706798328,10,18.0,18.0,NOUN
6539,2016,India,journalist,29.0,14012,0.0020696545817870397,10,18.0,18.0,NOUN
6540,2017,India,journalist,44.0,17097,0.002573550915365269,10,18.0,18.0,NOUN
6541,2018,India,journalist,70.0,19170,0.0036515388628064684,10,18.0,18.0,NOUN
6542,2019,India,journalist,52.0,20849,0.002494124418437335,10,18.0,18.0,NOUN
6543,2020,India,journalist,51.0,21942,0.002324309543341537,10,18.0,18.0,NOUN
6544,2021,India,journalist,45.0,12622,0.003565203612739661,10,18.0,18.0,NOUN
4709,2005,India,founder,0.0,86,0.0,7,20.0,20.0,NOUN
4710,2006,India,founder,0.0,102,0.0,7,20.0,20.0,NOUN
4711,2007,India,founder,0.0,248,0.0,7,20.0,20.0,NOUN
4712,2008,India,founder,0.0,684,0.0,7,20.0,20.0,NOUN
4713,2009,India,founder,0.0,1178,0.0,7,20.0,20.0,NOUN
4714,2010,India,founder,0.0,1584,0.0,7,20.0,20.0,NOUN
4715,2011,India,founder,2.0,2438,0.0008203445447087777,7,20.0,20.0,NOUN
4716,2012,India,founder,4.0,3634,0.001100715465052284,7,20.0,20.0,NOUN
4717,2013,India,founder,7.0,4910,0.0014256619144602852,7,20.0,20.0,NOUN
4718,2014,India,founder,10.0,7502,0.0013329778725673154,7,20.0,20.0,NOUN
4719,2015,India,founder,22.0,10532,0.002088872009115078,7,20.0,20.0,NOUN
4720,2016,India,founder,28.0,14012,0.0019982871824150727,7,20.0,20.0,NOUN
4721,2017,India,founder,48.0,17097,0.0028075100894893843,7,20.0,20.0,NOUN
4722,2018,India,founder,53.0,19170,0.002764736567553469,7,20.0,20.0,NOUN
4723,2019,India,founder,52.0,20849,0.002494124418437335,7,20.0,20.0,NOUN
4724,2020,India,founder,72.0,21942,0.003281378178835111,7,20.0,20.0,NOUN
4725,2021,India,founder,44.0,12622,0.0034859768657898907,7,20.0,20.0,NOUN
935,2005,India,bail,0.0,86,0.0,4,22.0,22.0,VERB
936,2006,India,bail,0.0,102,0.0,4,22.0,22.0,VERB
937,2007,India,bail,0.0,248,0.0,4,22.0,22.0,VERB
938,2008,India,bail,1.0,684,0.0014619883040935672,4,22.0,22.0,VERB
939,2009,India,bail,1.0,1178,0.0008488964346349745,4,22.0,22.0,VERB
940,2010,India,bail,0.0,1584,0.0,4,22.0,22.0,VERB
941,2011,India,bail,6.0,2438,0.002461033634126333,4,22.0,22.0,VERB
942,2012,India,bail,5.0,3634,0.001375894331315355,4,22.0,22.0,VERB
943,2013,India,bail,5.0,4910,0.0010183299389002036,4,22.0,22.0,VERB
944,2014,India,bail,8.0,7502,0.0010663822980538523,4,22.0,22.0,VERB
945,2015,India,bail,5.0,10532,0.00047474363843524496,4,22.0,22.0,VERB
946,2016,India,bail,23.0,14012,0.0016414501855552383,4,22.0,22.0,VERB
947,2017,India,bail,14.0,17097,0.0008188571094344037,4,22.0,22.0,VERB
948,2018,India,bail,15.0,19170,0.000782472613458529,4,22.0,22.0,VERB
949,2019,India,bail,24.0,20849,0.0011511343469710778,4,22.0,22.0,VERB
950,2020,India,bail,63.0,21942,0.002871205906480722,4,22.0,22.0,VERB
951,2021,India,bail,43.0,12622,0.0034067501188401205,4,22.0,22.0,VERB
2278,2005,India,challenge,0.0,86,0.0,9,25.0,25.0,NOUN
2279,2006,India,challenge,0.0,102,0.0,9,25.0,25.0,NOUN
2280,2007,India,challenge,0.0,248,0.0,9,25.0,25.0,NOUN
2281,2008,India,challenge,0.0,684,0.0,9,25.0,25.0,NOUN
2282,2009,India,challenge,0.0,1178,0.0,9,25.0,25.0,NOUN
2283,2010,India,challenge,0.0,1584,0.0,9,25.0,25.0,NOUN
2284,2011,India,challenge,3.0,2438,0.0012305168170631665,9,25.0,25.0,NOUN
2285,2012,India,challenge,6.0,3634,0.001651073197578426,9,25.0,25.0,NOUN
2286,2013,India,challenge,12.0,4910,0.002443991853360489,9,25.0,25.0,NOUN
2287,2014,India,challenge,18.0,7502,0.0023993601706211675,9,25.0,25.0,NOUN
2288,2015,India,challenge,21.0,10532,0.0019939232814280288,9,25.0,25.0,NOUN
2289,2016,India,challenge,44.0,14012,0.003140165572366543,9,25.0,25.0,NOUN
2290,2017,India,challenge,63.0,17097,0.0036848569924548165,9,25.0,25.0,NOUN
2291,2018,India,challenge,72.0,19170,0.003755868544600939,9,25.0,25.0,NOUN
2292,2019,India,challenge,77.0,20849,0.0036932226965322077,9,25.0,25.0,NOUN
2293,2020,India,challenge,83.0,21942,0.0037826998450460306,9,25.0,25.0,NOUN
2294,2021,India,challenge,41.0,12622,0.00324829662494058,9,25.0,25.0,NOUN
10149,2005,India,question,0.0,86,0.0,8,27.0,27.0,NOUN
10150,2006,India,question,0.0,102,0.0,8,27.0,27.0,NOUN
10151,2007,India,question,0.0,248,0.0,8,27.0,27.0,NOUN
10152,2008,India,question,2.0,684,0.0029239766081871343,8,27.0,27.0,NOUN
10153,2009,India,question,5.0,1178,0.004244482173174873,8,27.0,27.0,NOUN
10154,2010,India,question,0.0,1584,0.0,8,27.0,27.0,NOUN
10155,2011,India,question,2.0,2438,0.0008203445447087777,8,27.0,27.0,NOUN
10156,2012,India,question,10.0,3634,0.00275178866263071,8,27.0,27.0,NOUN
10157,2013,India,question,11.0,4910,0.002240325865580448,8,27.0,27.0,NOUN
10158,2014,India,question,17.0,7502,0.0022660623833644362,8,27.0,27.0,NOUN
10159,2015,India,question,22.0,10532,0.002088872009115078,8,27.0,27.0,NOUN
10160,2016,India,question,52.0,14012,0.003711104767342278,8,27.0,27.0,NOUN
10161,2017,India,question,43.0,17097,0.00251506112183424,8,27.0,27.0,NOUN
10162,2018,India,question,48.0,19170,0.0025039123630672924,8,27.0,27.0,NOUN
10163,2019,India,question,66.0,20849,0.003165619454170464,8,27.0,27.0,NOUN
10164,2020,India,question,75.0,21942,0.003418102269619907,8,27.0,27.0,NOUN
10165,2021,India,question,38.0,12622,0.003010616384091269,8,27.0,27.0,NOUN
10999,2005,India,safe,1.0,86,0.011627906976744186,4,28.0,28.0,ADJ
11000,2006,India,safe,0.0,102,0.0,4,28.0,28.0,ADJ
11001,2007,India,safe,1.0,248,0.004032258064516129,4,28.0,28.0,ADJ
11002,2008,India,safe,1.0,684,0.0014619883040935672,4,28.0,28.0,ADJ
11003,2009,India,safe,4.0,1178,0.003395585738539898,4,28.0,28.0,ADJ
11004,2010,India,safe,0.0,1584,0.0,4,28.0,28.0,ADJ
11005,2011,India,safe,4.0,2438,0.0016406890894175555,4,28.0,28.0,ADJ
11006,2012,India,safe,12.0,3634,0.003302146395156852,4,28.0,28.0,ADJ
11007,2013,India,safe,15.0,4910,0.003054989816700611,4,28.0,28.0,ADJ
11008,2014,India,safe,28.0,7502,0.003732338043188483,4,28.0,28.0,ADJ
11009,2015,India,safe,21.0,10532,0.0019939232814280288,4,28.0,28.0,ADJ
11010,2016,India,safe,41.0,14012,0.002926063374250642,4,28.0,28.0,ADJ
11011,2017,India,safe,79.0,17097,0.004620693688951278,4,28.0,28.0,ADJ
11012,2018,India,safe,77.0,19170,0.004016692749087115,4,28.0,28.0,ADJ
11013,2019,India,safe,68.0,20849,0.0032615473164180537,4,28.0,28.0,ADJ
11014,2020,India,safe,76.0,21942,0.0034636769665481724,4,28.0,28.0,ADJ
11015,2021,India,safe,38.0,12622,0.003010616384091269,4,28.0,28.0,ADJ
14450,2005,India,youth,0.0,86,0.0,5,30.0,30.0,NOUN
14451,2006,India,youth,0.0,102,0.0,5,30.0,30.0,NOUN
14452,2007,India,youth,0.0,248,0.0,5,30.0,30.0,NOUN
14453,2008,India,youth,3.0,684,0.0043859649122807015,5,30.0,30.0,NOUN
14454,2009,India,youth,1.0,1178,0.0008488964346349745,5,30.0,30.0,NOUN
14455,2010,India,youth,0.0,1584,0.0,5,30.0,30.0,NOUN
14456,2011,India,youth,3.0,2438,0.0012305168170631665,5,30.0,30.0,NOUN
14457,2012,India,youth,5.0,3634,0.001375894331315355,5,30.0,30.0,NOUN
14458,2013,India,youth,6.0,4910,0.0012219959266802445,5,30.0,30.0,NOUN
14459,2014,India,youth,17.0,7502,0.0022660623833644362,5,30.0,30.0,NOUN
14460,2015,India,youth,15.0,10532,0.001424230915305735,5,30.0,30.0,NOUN
14461,2016,India,youth,22.0,14012,0.0015700827861832715,5,30.0,30.0,NOUN
14462,2017,India,youth,35.0,17097,0.002047142773586009,5,30.0,30.0,NOUN
14463,2018,India,youth,34.0,19170,0.001773604590505999,5,30.0,30.0,NOUN
14464,2019,India,youth,36.0,20849,0.0017267015204566166,5,30.0,30.0,NOUN
14465,2020,India,youth,35.0,21942,0.0015951143924892899,5,30.0,30.0,NOUN
14466,2021,India,youth,37.0,12622,0.002931389637141499,5,30.0,30.0,NOUN
3961,2005,India,empowerment,0.0,86,0.0,11,31.0,31.0,NOUN
3962,2006,India,empowerment,0.0,102,0.0,11,31.0,31.0,NOUN
3963,2007,India,empowerment,0.0,248,0.0,11,31.0,31.0,NOUN
3964,2008,India,empowerment,0.0,684,0.0,11,31.0,31.0,NOUN
3965,2009,India,empowerment,1.0,1178,0.0008488964346349745,11,31.0,31.0,NOUN
3966,2010,India,empowerment,0.0,1584,0.0,11,31.0,31.0,NOUN
3967,2011,India,empowerment,1.0,2438,0.00041017227235438887,11,31.0,31.0,NOUN
3968,2012,India,empowerment,1.0,3634,0.000275178866263071,11,31.0,31.0,NOUN
3969,2013,India,empowerment,6.0,4910,0.0012219959266802445,11,31.0,31.0,NOUN
3970,2014,India,empowerment,11.0,7502,0.001466275659824047,11,31.0,31.0,NOUN
3971,2015,India,empowerment,31.0,10532,0.002943410558298519,11,31.0,31.0,NOUN
3972,2016,India,empowerment,36.0,14012,0.002569226377390808,11,31.0,31.0,NOUN
3973,2017,India,empowerment,48.0,17097,0.0028075100894893843,11,31.0,31.0,NOUN
3974,2018,India,empowerment,70.0,19170,0.0036515388628064684,11,31.0,31.0,NOUN
