,year,country,word,frequency,count,freq_prop_headlines,word_len,freq_rank,hfreq_rank,word_type
3975,2019,India,empowerment,65.0,20849,0.003117655523046669,11,31.0,31.0,NOUN
3976,2020,India,empowerment,44.0,21942,0.0020052866648436786,11,31.0,31.0,NOUN
3977,2021,India,empowerment,34.0,12622,0.002693709396292188,11,31.0,31.0,NOUN
1462,2005,India,board,0.0,86,0.0,5,36.0,36.0,NOUN
1463,2006,India,board,0.0,102,0.0,5,36.0,36.0,NOUN
1464,2007,India,board,0.0,248,0.0,5,36.0,36.0,NOUN
1465,2008,India,board,1.0,684,0.0014619883040935672,5,36.0,36.0,NOUN
1466,2009,India,board,0.0,1178,0.0,5,36.0,36.0,NOUN
1467,2010,India,board,0.0,1584,0.0,5,36.0,36.0,NOUN
1468,2011,India,board,4.0,2438,0.0016406890894175555,5,36.0,36.0,NOUN
1469,2012,India,board,11.0,3634,0.003026967528893781,5,36.0,36.0,NOUN
1470,2013,India,board,10.0,4910,0.002036659877800407,5,36.0,36.0,NOUN
1471,2014,India,board,15.0,7502,0.0019994668088509733,5,36.0,36.0,NOUN
1472,2015,India,board,29.0,10532,0.0027535131029244207,5,36.0,36.0,NOUN
1473,2016,India,board,36.0,14012,0.002569226377390808,5,36.0,36.0,NOUN
1474,2017,India,board,39.0,17097,0.0022811019477101246,5,36.0,36.0,NOUN
1475,2018,India,board,48.0,19170,0.0025039123630672924,5,36.0,36.0,NOUN
1476,2019,India,board,68.0,20849,0.0032615473164180537,5,36.0,36.0,NOUN
1477,2020,India,board,63.0,21942,0.002871205906480722,5,36.0,36.0,NOUN
1478,2021,India,board,31.0,12622,0.0024560291554428775,5,36.0,36.0,NOUN
4981,2005,India,girlfriend,0.0,86,0.0,10,39.0,39.0,NOUN
4982,2006,India,girlfriend,0.0,102,0.0,10,39.0,39.0,NOUN
4983,2007,India,girlfriend,2.0,248,0.008064516129032258,10,39.0,39.0,NOUN
4984,2008,India,girlfriend,2.0,684,0.0029239766081871343,10,39.0,39.0,NOUN
4985,2009,India,girlfriend,2.0,1178,0.001697792869269949,10,39.0,39.0,NOUN
4986,2010,India,girlfriend,0.0,1584,0.0,10,39.0,39.0,NOUN
4987,2011,India,girlfriend,6.0,2438,0.002461033634126333,10,39.0,39.0,NOUN
4988,2012,India,girlfriend,4.0,3634,0.001100715465052284,10,39.0,39.0,NOUN
4989,2013,India,girlfriend,6.0,4910,0.0012219959266802445,10,39.0,39.0,NOUN
4990,2014,India,girlfriend,12.0,7502,0.0015995734470807784,10,39.0,39.0,NOUN
4991,2015,India,girlfriend,23.0,10532,0.002183820736802127,10,39.0,39.0,NOUN
4992,2016,India,girlfriend,36.0,14012,0.002569226377390808,10,39.0,39.0,NOUN
4993,2017,India,girlfriend,31.0,17097,0.0018131835994618939,10,39.0,39.0,NOUN
4994,2018,India,girlfriend,35.0,19170,0.0018257694314032342,10,39.0,39.0,NOUN
4995,2019,India,girlfriend,38.0,20849,0.0018226293827042065,10,39.0,39.0,NOUN
4996,2020,India,girlfriend,48.0,21942,0.0021875854525567405,10,39.0,39.0,NOUN
4997,2021,India,girlfriend,28.0,12622,0.002218348914593567,10,39.0,39.0,NOUN
7718,2005,India,loss,0.0,86,0.0,4,40.0,40.0,NOUN
7719,2006,India,loss,0.0,102,0.0,4,40.0,40.0,NOUN
7720,2007,India,loss,0.0,248,0.0,4,40.0,40.0,NOUN
7721,2008,India,loss,0.0,684,0.0,4,40.0,40.0,NOUN
7722,2009,India,loss,2.0,1178,0.001697792869269949,4,40.0,40.0,NOUN
7723,2010,India,loss,0.0,1584,0.0,4,40.0,40.0,NOUN
7724,2011,India,loss,3.0,2438,0.0012305168170631665,4,40.0,40.0,NOUN
7725,2012,India,loss,2.0,3634,0.000550357732526142,4,40.0,40.0,NOUN
7726,2013,India,loss,6.0,4910,0.0012219959266802445,4,40.0,40.0,NOUN
7727,2014,India,loss,7.0,7502,0.0009330845107971208,4,40.0,40.0,NOUN
7728,2015,India,loss,12.0,10532,0.001139384732244588,4,40.0,40.0,NOUN
7729,2016,India,loss,19.0,14012,0.0013559805880673707,4,40.0,40.0,NOUN
7730,2017,India,loss,32.0,17097,0.0018716733929929228,4,40.0,40.0,NOUN
7731,2018,India,loss,41.0,19170,0.002138758476786646,4,40.0,40.0,NOUN
7732,2019,India,loss,65.0,20849,0.003117655523046669,4,40.0,40.0,NOUN
7733,2020,India,loss,78.0,21942,0.003554826360404703,4,40.0,40.0,NOUN
7734,2021,India,loss,28.0,12622,0.002218348914593567,4,40.0,40.0,NOUN
11679,2005,India,shot,0.0,86,0.0,4,41.0,41.0,NOUN
11680,2006,India,shot,0.0,102,0.0,4,41.0,41.0,NOUN
11681,2007,India,shot,0.0,248,0.0,4,41.0,41.0,NOUN
11682,2008,India,shot,0.0,684,0.0,4,41.0,41.0,NOUN
11683,2009,India,shot,1.0,1178,0.0008488964346349745,4,41.0,41.0,NOUN
11684,2010,India,shot,0.0,1584,0.0,4,41.0,41.0,NOUN
11685,2011,India,shot,2.0,2438,0.0008203445447087777,4,41.0,41.0,NOUN
11686,2012,India,shot,3.0,3634,0.000825536598789213,4,41.0,41.0,NOUN
11687,2013,India,shot,3.0,4910,0.0006109979633401223,4,41.0,41.0,NOUN
11688,2014,India,shot,6.0,7502,0.0007997867235403892,4,41.0,41.0,NOUN
11689,2015,India,shot,11.0,10532,0.001044436004557539,4,41.0,41.0,NOUN
11690,2016,India,shot,10.0,14012,0.0007136739937196689,4,41.0,41.0,NOUN
11691,2017,India,shot,9.0,17097,0.0005264081417792595,4,41.0,41.0,NOUN
11692,2018,India,shot,12.0,19170,0.0006259780907668231,4,41.0,41.0,NOUN
11693,2019,India,shot,18.0,20849,0.0008633507602283083,4,41.0,41.0,NOUN
11694,2020,India,shot,26.0,21942,0.0011849421201349012,4,41.0,41.0,NOUN
11695,2021,India,shot,27.0,12622,0.0021391221676437967,4,41.0,41.0,NOUN
12342,2005,India,strong,0.0,86,0.0,6,42.0,42.0,ADJ
12343,2006,India,strong,0.0,102,0.0,6,42.0,42.0,ADJ
12344,2007,India,strong,0.0,248,0.0,6,42.0,42.0,ADJ
12345,2008,India,strong,0.0,684,0.0,6,42.0,42.0,ADJ
12346,2009,India,strong,3.0,1178,0.0025466893039049238,6,42.0,42.0,ADJ
12347,2010,India,strong,0.0,1584,0.0,6,42.0,42.0,ADJ
12348,2011,India,strong,2.0,2438,0.0008203445447087777,6,42.0,42.0,ADJ
12349,2012,India,strong,6.0,3634,0.001651073197578426,6,42.0,42.0,ADJ
12350,2013,India,strong,7.0,4910,0.0014256619144602852,6,42.0,42.0,ADJ
12351,2014,India,strong,15.0,7502,0.0019994668088509733,6,42.0,42.0,ADJ
12352,2015,India,strong,16.0,10532,0.0015191796429927839,6,42.0,42.0,ADJ
12353,2016,India,strong,28.0,14012,0.0019982871824150727,6,42.0,42.0,ADJ
12354,2017,India,strong,49.0,17097,0.002865999883020413,6,42.0,42.0,ADJ
12355,2018,India,strong,51.0,19170,0.0026604068857589984,6,42.0,42.0,ADJ
12356,2019,India,strong,49.0,20849,0.0023502326250659502,6,42.0,42.0,ADJ
12357,2020,India,strong,51.0,21942,0.002324309543341537,6,42.0,42.0,ADJ
12358,2021,India,strong,26.0,12622,0.0020598954206940264,6,42.0,42.0,ADJ
13345,2005,India,trans,0.0,86,0.0,5,43.0,43.0,NOUN
13346,2006,India,trans,0.0,102,0.0,5,43.0,43.0,NOUN
13347,2007,India,trans,0.0,248,0.0,5,43.0,43.0,NOUN
13348,2008,India,trans,0.0,684,0.0,5,43.0,43.0,NOUN
13349,2009,India,trans,0.0,1178,0.0,5,43.0,43.0,NOUN
13350,2010,India,trans,0.0,1584,0.0,5,43.0,43.0,NOUN
13351,2011,India,trans,0.0,2438,0.0,5,43.0,43.0,NOUN
13352,2012,India,trans,0.0,3634,0.0,5,43.0,43.0,NOUN
13353,2013,India,trans,0.0,4910,0.0,5,43.0,43.0,NOUN
13354,2014,India,trans,2.0,7502,0.00026659557451346307,5,43.0,43.0,NOUN
13355,2015,India,trans,10.0,10532,0.0009494872768704899,5,43.0,43.0,NOUN
13356,2016,India,trans,13.0,14012,0.0009277761918355695,5,43.0,43.0,NOUN
13357,2017,India,trans,30.0,17097,0.001754693805930865,5,43.0,43.0,NOUN
13358,2018,India,trans,40.0,19170,0.0020865936358894104,5,43.0,43.0,NOUN
13359,2019,India,trans,49.0,20849,0.0023502326250659502,5,43.0,43.0,NOUN
13360,2020,India,trans,54.0,21942,0.002461033634126333,5,43.0,43.0,NOUN
13361,2021,India,trans,26.0,12622,0.0020598954206940264,5,43.0,43.0,NOUN
2312,2005,India,character,0.0,86,0.0,9,44.0,44.0,NOUN
2313,2006,India,character,0.0,102,0.0,9,44.0,44.0,NOUN
2314,2007,India,character,0.0,248,0.0,9,44.0,44.0,NOUN
2315,2008,India,character,0.0,684,0.0,9,44.0,44.0,NOUN
2316,2009,India,character,0.0,1178,0.0,9,44.0,44.0,NOUN
2317,2010,India,character,0.0,1584,0.0,9,44.0,44.0,NOUN
2318,2011,India,character,11.0,2438,0.004511894995898278,9,44.0,44.0,NOUN
2319,2012,India,character,3.0,3634,0.000825536598789213,9,44.0,44.0,NOUN
2320,2013,India,character,2.0,4910,0.0004073319755600815,9,44.0,44.0,NOUN
2321,2014,India,character,18.0,7502,0.0023993601706211675,9,44.0,44.0,NOUN
2322,2015,India,character,25.0,10532,0.002373718192176225,9,44.0,44.0,NOUN
2323,2016,India,character,30.0,14012,0.0021410219811590064,9,44.0,44.0,NOUN
2324,2017,India,character,37.0,17097,0.002164122360648067,9,44.0,44.0,NOUN
2325,2018,India,character,48.0,19170,0.0025039123630672924,9,44.0,44.0,NOUN
2326,2019,India,character,62.0,20849,0.002973763729675284,9,44.0,44.0,NOUN
2327,2020,India,character,60.0,21942,0.0027344818156959257,9,44.0,44.0,NOUN
2328,2021,India,character,25.0,12622,0.0019806686737442562,9,44.0,44.0,NOUN
119,2005,India,action,0.0,86,0.0,6,47.0,47.0,NOUN
120,2006,India,action,0.0,102,0.0,6,47.0,47.0,NOUN
121,2007,India,action,0.0,248,0.0,6,47.0,47.0,NOUN
122,2008,India,action,1.0,684,0.0014619883040935672,6,47.0,47.0,NOUN
123,2009,India,action,0.0,1178,0.0,6,47.0,47.0,NOUN
124,2010,India,action,0.0,1584,0.0,6,47.0,47.0,NOUN
125,2011,India,action,5.0,2438,0.002050861361771944,6,47.0,47.0,NOUN
126,2012,India,action,3.0,3634,0.000825536598789213,6,47.0,47.0,NOUN
127,2013,India,action,3.0,4910,0.0006109979633401223,6,47.0,47.0,NOUN
128,2014,India,action,9.0,7502,0.0011996800853105837,6,47.0,47.0,NOUN
129,2015,India,action,14.0,10532,0.001329282187618686,6,47.0,47.0,NOUN
130,2016,India,action,23.0,14012,0.0016414501855552383,6,47.0,47.0,NOUN
131,2017,India,action,37.0,17097,0.002164122360648067,6,47.0,47.0,NOUN
132,2018,India,action,46.0,19170,0.002399582681272822,6,47.0,47.0,NOUN
133,2019,India,action,52.0,20849,0.002494124418437335,6,47.0,47.0,NOUN
134,2020,India,action,61.0,21942,0.002780056512624191,6,47.0,47.0,NOUN
135,2021,India,action,23.0,12622,0.0018222151798447156,6,47.0,47.0,NOUN
4046,2005,India,escape,0.0,86,0.0,6,51.0,51.0,VERB
4047,2006,India,escape,1.0,102,0.00980392156862745,6,51.0,51.0,VERB
4048,2007,India,escape,1.0,248,0.004032258064516129,6,51.0,51.0,VERB
4049,2008,India,escape,2.0,684,0.0029239766081871343,6,51.0,51.0,VERB
4050,2009,India,escape,1.0,1178,0.0008488964346349745,6,51.0,51.0,VERB
4051,2010,India,escape,0.0,1584,0.0,6,51.0,51.0,VERB
4052,2011,India,escape,0.0,2438,0.0,6,51.0,51.0,VERB
4053,2012,India,escape,4.0,3634,0.001100715465052284,6,51.0,51.0,VERB
4054,2013,India,escape,6.0,4910,0.0012219959266802445,6,51.0,51.0,VERB
4055,2014,India,escape,10.0,7502,0.0013329778725673154,6,51.0,51.0,VERB
4056,2015,India,escape,26.0,10532,0.0024686669198632737,6,51.0,51.0,VERB
4057,2016,India,escape,24.0,14012,0.0017128175849272054,6,51.0,51.0,VERB
4058,2017,India,escape,26.0,17097,0.0015207346318067496,6,51.0,51.0,VERB
4059,2018,India,escape,42.0,19170,0.002190923317683881,6,51.0,51.0,VERB
4060,2019,India,escape,39.0,20849,0.0018705933138280014,6,51.0,51.0,VERB
4061,2020,India,escape,41.0,21942,0.0018685625740588825,6,51.0,51.0,VERB
4062,2021,India,escape,20.0,12622,0.001584534938995405,6,51.0,51.0,VERB
8874,2005,India,nurse,0.0,86,0.0,5,54.0,54.0,NOUN
