,word,theme
20,abandon,No theme
27,abduct,No theme
52,abortion,empowerement
68,abuse,violence
84,accident,No theme
94,account,No theme
100,accuse,No theme
109,acid,No theme
118,act,No theme
120,action,No theme
124,activist,empowerement
126,actor,empowerement
127,actress,female stereotypes
136,add,No theme
169,admit,No theme
174,adopt,No theme
177,adorable,female stereotypes
195,advice,No theme
206,affair,female stereotypes
207,affect,No theme
232,age,No theme
260,ahead,No theme
278,aim,No theme
290,airport,No theme
346,alia,No theme
359,alive,No theme
361,allegation,violence
362,allege,violence
364,allegedly,violence
375,allow,No theme
407,amazing,No theme
499,angry,No theme
526,anniversary,No theme
543,answer,No theme
553,anti,No theme
582,apologise,No theme
587,app,No theme
604,appoint,empowerement
660,army,No theme
669,arrest,violence
676,art,No theme
685,artist,empowerement
721,asian,No theme
736,assam,No theme
742,assault,violence
775,athlete,No theme
787,attack,violence
790,attempt,No theme
791,attend,No theme
831,author,empowerement
836,auto,No theme
864,avoid,No theme
870,award,empowerement
915,baby,female stereotypes
942,bad,No theme
958,bag,No theme
1014,ban,No theme
1122,battle,violence
1143,bear,No theme
1148,beat,violence
1153,beautiful,female stereotypes
1155,beauty,female stereotypes
1176,begin,No theme
1202,believe,No theme
1223,benefit,No theme
1337,bid,No theme
1347,bigg,No theme
1361,bill,No theme
1398,birth,female stereotypes
1417,black,No theme
1427,blame,No theme
1465,blood,violence
1473,blue,No theme
1482,board,No theme
1495,body,female stereotypes
1513,bollywood,No theme
1563,boss,empowerement
1593,box,No theme
1596,boy,No theme
1599,boyfriend,No theme
1612,brain,No theme
1624,brave,No theme
1643,breast,female stereotypes
1667,bride,female stereotypes
1682,britain,No theme
1703,brother,No theme
1736,build,No theme
1751,bully,No theme
1782,burn,violence
1789,business,empowerement
1853,camera,No theme
1860,campaign,No theme
1870,cancer,No theme
1874,candidate,No theme
1902,captain,No theme
1920,care,female stereotypes
1921,career,empowerement
1971,caste,No theme
2016,ceiling,No theme
2018,celebrate,No theme
2022,celebrity,No theme
2044,ceo,empowerement
2075,challenge,No theme
2081,champion,No theme
2082,championship,No theme
2099,change,No theme
2109,character,No theme
2148,cheat,female stereotypes
2201,chief,empowerement
2203,child,female stereotypes
2221,chinese,No theme
2236,choice,No theme
2243,choose,No theme
2278,church,No theme
2289,cinema,No theme
2314,claim,No theme
2375,clothe,No theme
2390,coach,No theme
2408,code,No theme
2440,college,No theme
2464,combat,No theme
2482,comment,No theme
2487,commission,No theme
2489,commit,female stereotypes
2501,community,No theme
2505,company,No theme
2521,complaint,No theme
2583,congress,No theme
2650,control,No theme
2653,controversy,No theme
2662,convict,violence
2679,cop,violence
2738,couple,No theme
2744,court,violence
2775,crash,violence
2800,crew,No theme
2803,cricket,No theme
2804,cricketer,No theme
2805,crime,violence
2850,crush,No theme
2852,cry,female stereotypes
2878,culture,No theme
2883,cup,No theme
2910,cut,No theme
2935,dad,No theme
2956,dalit,No theme
2968,dance,No theme
2993,dark,No theme
3006,date,No theme
3009,daughter,female stereotypes
3033,dead,violence
3043,death,violence
3046,debate,No theme
3051,debut,No theme
3054,decade,No theme
3089,deepika,No theme
3106,defend,violence
3138,deliver,No theme
3145,demand,No theme
3180,deny,No theme
3201,depression,No theme
3226,design,No theme
3228,designer,No theme
3339,die,violence
3344,diet,No theme
3347,different,No theme
3397,director,empowerement
3426,discover,No theme
3435,disease,No theme
3491,district,No theme
3509,divorce,female stereotypes
3524,doctor,empowerement
3541,domestic,female stereotypes
3544,dominate,No theme
