,theme,abandon,abduct,abortion,abraham,abuse,accident,accidentally,accord,account,accuse,accuser,acid,act,action,activist,actor,actress,actually,add,address,admit,adopt,adorable,advice,affair,affect,age,aged,agent,agony,ahead,aid,aim,airport,aka,alabama,album,alcohol,alia,alight,alive,allegation,allege,alleged,allegedly,allow,amanda,amazing,amazon,amber,angry,animal,anne,anniversary,answer,antebellum,anti,apartment,apologise,apologize,app,appeal,appearance,appoint,appointment,area,arizona,armed,army,arrest,arrive,art,artist,asian,assam,assault,assembly,athlete,attack,attacker,attempt,attend,attorney,author,authority,auto,avoid,award,axe,baby,bachelor,bachelorette,backlash,bad,bae,bag,bail,bakkie,ball,ban,band,barrier,basketball,bathabile,battle,bay,bbc,beach,bear,beat,beautiful,beauty,bed,bedroom,beer,begin,believe,bell,benefit,bias,bid,bieber,bigg,bike,bikini,bill,bird,birth,bit,bizarre,black,blake,blame,blast,blind,block,bloemfontein,blood,blow,blue,board,body,boity,bollywood,boost,border,boris,boss,bottle,bowl,box,boy,boyfriend,brain,brave,breast,bride,bridge,brit,britain,brother,brown,brutal,brutally,build,building,bull,bullet,bully,bump,burn,bury,bush,bushiri,business,busisiwe,bust,camera,camp,campaign,cancel,cancer,candidate,capetown,capitol,captain,capture,card,cardiff,care,career,carolyn,carpet,carrie,cash,caste,caster,cctv,ceiling,cele,celebrate,celebrity,cent,center,century,ceo,chair,challenge,champion,championship,chance,change,channel,character,charlize,charlotte,chase,cheat,chef,chelsea,chicago,chief,child,chinese,choice,choose,chris,chrissy,christian,christina,christmas,church,cinema,claim,clean,clear,cliff,clinic,clip,clothe,coach,cocaine,code,collapse,colleague,collection,college,color,colorado,column,combat,comedy,comfort,comic,comment,commission,commit,community,company,complaint,complete,con,concern,concert,condemn,confront,congress,connection,consider,contract,control,controversy,convert,convict,cook,cookie,cool,cooper,cop,coronavirus,corruption,cortez,costume,council,councillor,couple,court,crash,crazy,creator,credit,crew,cricket,cricketer,crime,criminal,crisis,critic,critical,criticise,criticize,cross,crown,cruise,crush,cry,culture,cup,custody,cut,cyrus,dad,daily,dalit,dam,damage,dance,dangerous,dark,date,daughter,dead,deadly,death,debate,debut,decade,decision,declare,deepika,defence,defend,defense,delay,deliver,delivery,demand,democratic,deny,department,depression,deputy,describe,deserve,design,designer,desperate,detain,devastate,devi,diagnose,die,diego,diet,different,dinner,direct,director,disabled,disappearance,discover,discrimination,discuss,disease,dish,disney,district,ditch,divorce,dlamini,dock,doctor,documentary,doll,domestic,dominate,donald,donate,door,double,dowry,drag,dragon,drama,draw,dream,dress,drink,driver,drown,drug,drunk,duchess,dump,early,earn,east,eastern,easy,economic,education,egg,elderly,elect,election,embrace,emma,emotional,employee,empower,empowerment,engage,engagement,engineer,england,enjoy,entrepreneur,entry,episode,equal,equality,escape,estate,eva,event,evidence,evil,exam,executive,experience,expert,explain,expose,express,facebook,fact,factor,fail,fake,fall,fame,family,famous,far,farewell,farm,farmer,fashion,fast,fat,fatal,fatally,fate,father,favourite,fear,fearless,feature,feed,feel,femicide,feminism,feminist,festival,fiance,field,fight,fighter,figure,file,finale,financial,fir,fire,firm,first,fit,fitness,flash,flee,flood,floor,florida,focus,food,foot,footage,football,forbe,force,forget,forgive,form,forward,founder,fox,francisco,fraud,freak,freedom,fun,fund,funeral,funny,furious,future,gadot,gain,gal,gandhi,gang,gangrape,gap,garden,gay,gbv,gender,general,generation,genital,george,gets,ghost,giant,gigaba,girlfriend,glasgow,glass,global,globe,goat,god,gold,golden,golf,gomez,google,gop,gossip,government,governor,govt,grab,grace,grade,graduate,grammy,grandma,granny,grant,grave,great,green,grieve,grope,ground,grow,gruesome,guard,guest,guide,guilty,gumede,gun,gunman,gupta,guy,hack,hail,hair,hall,halloween,hang,harass,harassment,harry,haryana,hate,hawk,head,heal,health,healthy,heart,heartbreaking,heartbroken,heavy,heist,hell,help,hero,hijab,hijacking,hilarious,hill,hindu,hire,historic,history,hit,hitman,hiv,hockey,hollywood,home,homeless,honor,honour,hope,horrific,horror,horse,hospital,hot,hotel,housewife,hubby,human,hunt,hurt,husband,ice,iconic,idea,identity,idol,ign,ignore,ill,illness,image,impact,important,incident,include,increase,incredible,injure,injury,inquest,inquiry,inspire,inspiring,instagram,instead,internet,interview,introduce,investigate,investigation,involve,iol,iowa,ireland,iron,isis,islamic,island,issue,itv,jail,japan,japanese,jayalalithaa,jean,jersey,jharkhand,job,johannesburg,johnson,joke,journalist,journey,joy,judge,justice,justin,kenya,kenyan,key,khayelitsha,khumalo,kid,kidnap,kidnapping,kill,killer,killing,kind,king,kiss,kitchen,knife,knock,kohli,kolisi,korea,krugersdorp,kwazulu,label,labour,lack,lake,lakh,language,las,later,laugh,launch,laura,law,lawmaker,lawsuit,lawyer,lead,leader,leadership,league,learn,legacy,legal,leigh,lerato,lesbian,lesson,level,lie,lift,light,lille,lindiwe,lion,lip,little,lively,liverpool,lock,london,loose,lose,loss,lot,lovato,love,lover,low,lucknow,lure,madiba,madjozi,magazine,magistrate,maharashtra,major,makeup,male,mall,mama,mamata,mamelodi,man,manager,manchester,manhattan,manhunt,mantsoe,marathon,march,maria,marine,mark,market,marriage,married,marry,marvel,mary,mask,master,matric,matter,maul,mayor,mazwai,mcdonald,mean,mec,medal,medical,meghan,melania,memba,member,memoir,memorial,memory,mental,metoo,metro,mexican,miami,michelle,michigan,middle,mile,miley,military,mind,mining,minister,minnie,minor,minute,miracle,mirza,misconduct,mission,mistake,mkhwebane,mla,mngoma,mock,model,modern,mokoena,mokonyane,molest,mom,money,monster,morgan,morning,mountain,mourn,movement,movie,mpumalanga,mrs,mum,murder,murderer,music,muslim,myeni,mystery,mzansi,nab,nadu,nasa,natal,nation,natural,navy,nba,ndabeni,neck,neighbor,neighbour,netflix,netizen,newborn,newcastle,nfl,nhs,nick,niece,nigerian,nirbhaya,noida,nomination,north,nose,note,notice,novel,npa,ntuli,nurse,nyc,nypd,ocean,odisha,officer,ohio,olympic,omotoso,online,operation,opinion,ordeal,order,orgasm,oscar,outfit,outrage,owner,paedophile,pain,painful,pak,pal,panel,parent,paris,parliament,partner,party,passenger,passion,past,pastor,patient,patriarchy,patricia,pearl,pen,penis,pension,perfect,perform,performance,period,permanent,perry,person,personal,pet,petrol,phumzile,pic,piece,pill,pilot,pink,pit,plane,plastic,player,plea,plead,plot,plymouth,point,poison,police,policy,politic,political,politician,politico,poll,pool,poor,pop,pope,poppie,port,portrait,pose,position,positive,possible,postpone,pound,pour,power,powerful,praise,pray,pregnancy,pregnant,premier,premiere,prepare,president,pretty,price,priest,prime,prince,princess,principal,prison,private,prize,pro,probe,producer,project,promise,promote,property,prosecutor,protea,protect,protection,protector,protest,protester,proud,prove,pub,publish,pule,pune,pupil,quarantine,queen,question,quit,race,racism,racist,radio,rage,rahul,railway,raise,rajasthan,rajput,rally,ram,rand,range,rank,rape,rapist,rapper,rare,rate,reach,react,reaction,ready,reality,reason,recall,recent,record,recount,recover,reese,reeva,reflect,regret,reject,relationship,relative,release,remark,rep,reply,reportedly,reporter,represent,republican,rescue,research,resident,resign,respect,response,rest,restaurant,reunion,reunite,reveal,revenge,rich,ring,rip,rise,risk,river,rob,robber,robbery,robert,romance,room,royal,rugby,ruin,rule,rumor,rumour,rural,rush,ryan,sabarimala,sabha,safe,safety,sale,salman,san,sandf,sap,sara,saree,sassa,saudi,save,scam,scandal,scheme,school,schoolgirl,science,scientist,score,scot,scott,scream,screen,sea,search,seat,secret,security,selfie,senior,sentence,serial,seriously,serve,service,sex,sexism,sexist,sexual,sexually,sexy,shack,shake,shallow,shame,shape,shed,shine,shirt,sho,shock,shocking,shoe,shoot,shooting,shop,short,shot,showbiz,shut,siam,sibling,sick,sight,sikh,silence,simpson,sing,singer,single,sinha,sisulu,sit,size,skill,skin,slam,slap,slave,slay,slaying,small,smash,smile,smuggle,snake,snap,snatch,snl,soccer,society,soda,soldier,somizi,son,song,soon,soul,source,south,space,speaker,spear,special,speech,spice,spider,spirit,split,spoiler,sport,spotlight,spread,spring,spy,squad,stab,stacey,staff,stage,stalk,stalker,stand,star,startup,stat,statement,statue,steal,stellenbosch,stepfather,stereotype,stewart,stick,stomach,stone,store,storm,strange,stranger,strangle,stream,strength,strike,strip,strong,struggle,student,study,stun,stunning,style,subway,success,successful,sue,suffer,suggest,suicide,summer,sun,sunday,sunny,superhero,support,supporter,supreme,surgery,survive,survivor,susan,sushant,suspect,suspend,sweep,sweet,swift,syndrome,syria,table,tackle,talaq,tale,tambo,tamil,tape,target,tattoo,taxi,taylor,tea,teach,teacher,tear,teen,teenage,teenager,teigen,temple,tennis,teresa,term,terrify,terrifying,terror,testify,text,theatre,thrash,threat,threaten,throne,thug,tie,tiger,tiktok,time,tinder,title,toddler,toilet,tongue,tooth,top,torture,touch,tough,toy,track,traditional,traffic,trafficking,tragedy,tragic,trail,training,trans,transform,transgender,trap,treat,treatment,tree,trend,trevor,trial,tribal,trick,trip,triple,troll,truck,true,trust,truth,tumi,tumour,tweet,twice,twin,twitter,uber,uct,ugly,unathi,uncle,undergo,union,universe,university,unveil,usa,utah,uttar,uyinene,vaccine,vagina,valley,van,vanessa,vanish,vegas,vehicle,vice,victim,victoria,victory,view,viewer,violence,violent,virginia,vogue,voice,vote,voter,vow,wake,wale,walk,wall,walmart,war,warn,wash,washington,watson,wave,wear,weather,wedding,weekend,weight,welsh,west,western,white,widow,wife,wild,williams,win,window,windsor,wine,wing,winner,winter,witchcraft,withdraw,witherspoon,witness,womens,womensmonth,wonder,wood,work,worker,workout,workplace,worth,wound,write,writer,wrong,yoga,young,youth,zephany,zinhle,zulu
0,No theme,390.0,242.0,,15.0,,769.0,364.0,127.0,390.0,4798.0,146.0,218.0,1392.0,676.0,,,,524.0,504.0,182.0,1497.0,501.0,,741.0,,189.0,1913.0,254.0,155.0,137.0,637.0,17.0,344.0,429.0,22.0,162.0,731.0,,376.0,38.0,955.0,,,,,987.0,353.0,555.0,428.0,160.0,529.0,134.0,130.0,529.0,624.0,139.0,899.0,317.0,407.0,337.0,621.0,541.0,261.0,,16.0,194.0,218.0,,984.0,,127.0,986.0,,852.0,304.0,,160.0,711.0,,153.0,985.0,352.0,146.0,,,205.0,544.0,,27.0,,272.0,126.0,309.0,1686.0,27.0,697.0,,16.0,315.0,1456.0,298.0,143.0,423.0,21.0,,81.0,265.0,673.0,1935.0,,,,599.0,127.0,18.0,175.0,984.0,168.0,346.0,152.0,415.0,174.0,284.0,150.0,,1006.0,192.0,,135.0,165.0,5456.0,197.0,780.0,202.0,251.0,142.0,17.0,,302.0,595.0,746.0,,30.0,589.0,23.0,327.0,127.0,,150.0,246.0,584.0,3031.0,3027.0,864.0,469.0,,,391.0,162.0,383.0,1979.0,752.0,225.0,,812.0,166.0,155.0,18.0,725.0,215.0,,200.0,168.0,16.0,,17.0,273.0,566.0,149.0,1275.0,310.0,2586.0,494.0,16.0,163.0,419.0,364.0,332.0,129.0,,,125.0,331.0,147.0,192.0,199.0,53.0,158.0,174.0,15.0,2008.0,726.0,141.0,221.0,271.0,,15.0,1011.0,539.0,340.0,145.0,3051.0,311.0,1099.0,17.0,171.0,297.0,,22.0,162.0,496.0,,,758.0,339.0,599.0,148.0,127.0,472.0,186.0,956.0,678.0,180.0,4368.0,18.0,354.0,15.0,21.0,137.0,295.0,1077.0,147.0,144.0,151.0,21.0,126.0,1085.0,519.0,193.0,143.0,372.0,206.0,129.0,164.0,1013.0,345.0,,472.0,1058.0,275.0,268.0,19.0,17.0,311.0,15.0,273.0,740.0,23.0,129.0,18.0,604.0,181.0,190.0,,,356.0,126.0,153.0,,2129.0,,136.0,198.0,139.0,25.0,763.0,,,,146.0,149.0,241.0,386.0,279.0,,,471.0,361.0,26.0,147.0,143.0,259.0,173.0,126.0,630.0,,522.0,1186.0,386.0,1433.0,407.0,1753.0,173.0,540.0,22.0,141.0,1180.0,306.0,556.0,2553.0,,,,,553.0,1259.0,540.0,337.0,168.0,298.0,25.0,,,21.0,661.0,144.0,807.0,162.0,1316.0,16.0,330.0,,356.0,459.0,486.0,534.0,153.0,154.0,18.0,151.0,146.0,,202.0,173.0,588.0,162.0,134.0,,308.0,153.0,760.0,313.0,347.0,462.0,136.0,388.0,199.0,142.0,,28.0,16.0,,289.0,326.0,,169.0,821.0,347.0,561.0,702.0,182.0,707.0,126.0,,599.0,,,953.0,1880.0,,,671.0,,408.0,586.0,681.0,414.0,137.0,,17.0,,185.0,997.0,425.0,853.0,164.0,137.0,,,,368.0,165.0,305.0,169.0,751.0,126.0,,239.0,434.0,,,,18.0,129.0,694.0,16.0,181.0,209.0,184.0,782.0,,1504.0,227.0,201.0,1361.0,219.0,165.0,1011.0,1063.0,,175.0,,581.0,482.0,18.0,77.0,315.0,1573.0,518.0,774.0,262.0,432.0,19.0,2976.0,152.0,,15.0,649.0,553.0,,15.0,156.0,,495.0,373.0,416.0,,586.0,394.0,742.0,183.0,181.0,169.0,,155.0,14046.0,346.0,155.0,148.0,430.0,34.0,429.0,1529.0,377.0,1044.0,756.0,197.0,929.0,173.0,2541.0,629.0,16.0,154.0,127.0,,554.0,140.0,,125.0,,139.0,563.0,583.0,331.0,163.0,862.0,608.0,153.0,,568.0,,,781.0,217.0,676.0,56.0,2097.0,163.0,170.0,207.0,427.0,346.0,203.0,157.0,25.0,,202.0,600.0,238.0,206.0,157.0,15.0,919.0,712.0,129.0,199.0,416.0,253.0,,593.0,,537.0,129.0,,27.0,,223.0,,21.0,201.0,24.0,1574.0,367.0,20.0,363.0,326.0,1084.0,18.0,351.0,321.0,473.0,,21.0,,15.0,181.0,609.0,170.0,30.0,2061.0,304.0,146.0,808.0,,,227.0,314.0,,25.0,2293.0,16.0,1639.0,168.0,1787.0,221.0,156.0,17.0,15.0,174.0,5249.0,887.0,402.0,35.0,485.0,423.0,536.0,705.0,155.0,2053.0,,16.0,36.0,259.0,1401.0,5611.0,545.0,591.0,593.0,1279.0,,,182.0,,1029.0,772.0,,33.0,706.0,449.0,563.0,5234.0,380.0,292.0,440.0,289.0,26.0,337.0,141.0,174.0,127.0,733.0,150.0,291.0,307.0,771.0,219.0,279.0,,,132.0,20.0,,240.0,1300.0,300.0,896.0,1349.0,134.0,331.0,307.0,17.0,25.0,142.0,144.0,179.0,866.0,143.0,507.0,1014.0,141.0,,445.0,272.0,160.0,205.0,245.0,188.0,,15.0,262.0,468.0,350.0,539.0,125.0,,,412.0,20.0,18.0,613.0,17.0,45.0,,,,,,,,611.0,844.0,152.0,,161.0,180.0,18.0,276.0,18.0,16.0,16.0,174.0,288.0,208.0,389.0,161.0,146.0,699.0,297.0,,322.0,,148.0,,,,,,675.0,1181.0,160.0,362.0,15.0,21.0,141.0,416.0,160.0,,361.0,616.0,33.0,25.0,39.0,133.0,3102.0,147.0,287.0,509.0,1511.0,,3855.0,890.0,572.0,205.0,,,534.0,172.0,18.0,22.0,24.0,174.0,15.0,498.0,576.0,,1924.0,35.0,,276.0,19.0,19072.0,,476.0,151.0,20.0,15.0,153.0,683.0,128.0,170.0,821.0,153.0,,,,425.0,269.0,666.0,17.0,29.0,528.0,163.0,,20.0,223.0,982.0,38.0,186.0,401.0,163.0,867.0,175.0,853.0,164.0,29.0,306.0,594.0,377.0,250.0,139.0,130.0,328.0,238.0,318.0,203.0,409.0,403.0,495.0,22.0,,18.0,661.0,557.0,148.0,151.0,127.0,222.0,447.0,65.0,293.0,22.0,259.0,1352.0,443.0,18.0,16.0,384.0,,1340.0,273.0,149.0,393.0,28.0,197.0,326.0,2158.0,42.0,,,,,1684.0,2253.0,40.0,840.0,31.0,35.0,463.0,157.0,16.0,194.0,20.0,248.0,191.0,19.0,128.0,202.0,438.0,647.0,145.0,,206.0,342.0,157.0,355.0,,25.0,158.0,177.0,128.0,1043.0,136.0,659.0,153.0,338.0,25.0,15.0,,702.0,201.0,21.0,149.0,,274.0,1096.0,19.0,1456.0,16.0,718.0,30.0,1026.0,131.0,1112.0,149.0,,,214.0,632.0,17.0,155.0,138.0,150.0,,652.0,33.0,921.0,1839.0,380.0,,646.0,52.0,,16.0,15.0,33.0,294.0,184.0,176.0,,809.0,595.0,432.0,141.0,455.0,726.0,475.0,380.0,16.0,18.0,1400.0,166.0,138.0,849.0,635.0,29.0,517.0,264.0,1032.0,307.0,,353.0,256.0,553.0,30.0,,291.0,508.0,425.0,158.0,245.0,463.0,145.0,211.0,501.0,155.0,15.0,31.0,136.0,677.0,22.0,612.0,152.0,24.0,237.0,24.0,,,624.0,26.0,,4533.0,27.0,342.0,24.0,1780.0,,197.0,190.0,158.0,1212.0,,15.0,,350.0,146.0,207.0,477.0,177.0,347.0,613.0,327.0,154.0,294.0,76.0,695.0,15.0,32.0,,,564.0,954.0,149.0,196.0,16.0,374.0,74.0,151.0,,1078.0,812.0,862.0,,,16.0,,296.0,236.0,1270.0,318.0,207.0,392.0,164.0,19.0,23.0,172.0,,,166.0,982.0,158.0,572.0,442.0,569.0,686.0,488.0,1097.0,639.0,204.0,1535.0,17.0,222.0,145.0,15.0,239.0,167.0,390.0,,15.0,1626.0,268.0,156.0,213.0,212.0,339.0,18.0,245.0,1502.0,156.0,23.0,18.0,153.0,550.0,34.0,355.0,129.0,645.0,7007.0,137.0,675.0,856.0,320.0,,,413.0,,,,164.0,149.0,863.0,1077.0,30.0,131.0,1239.0,195.0,296.0,275.0,177.0,293.0,393.0,149.0,942.0,465.0,158.0,285.0,533.0,20.0,20.0,180.0,147.0,17.0,1119.0,2946.0,31.0,367.0,194.0,3381.0,161.0,411.0,,331.0,356.0,176.0,218.0,184.0,173.0,1201.0,550.0,1754.0,,381.0,247.0,,312.0,257.0,617.0,743.0,,,,,,,18.0,16.0,22.0,741.0,147.0,153.0,21.0,141.0,25.0,901.0,624.0,159.0,,,,705.0,477.0,15.0,492.0,17.0,16.0,212.0,21.0,162.0,618.0,149.0,604.0,1126.0,,163.0,26.0,340.0,597.0,16.0,628.0,,251.0,150.0,336.0,134.0,460.0,213.0,304.0,16.0,17.0,192.0,19.0,142.0,368.0,239.0,151.0,568.0,18.0,5145.0,1350.0,220.0,15.0,167.0,1839.0,738.0,17.0,264.0,967.0,633.0,137.0,180.0,23.0,466.0,130.0,1392.0,131.0,16.0,133.0,134.0,153.0,,126.0,416.0,758.0,173.0,143.0,1268.0,,236.0,16.0,183.0,332.0,,27.0,20.0,225.0,194.0,470.0,126.0,742.0,566.0,179.0,127.0,228.0,177.0,132.0,,815.0,307.0,,1023.0,2165.0,2388.0,182.0,144.0,1129.0,300.0,,,1863.0,,149.0,,408.0,147.0,162.0,153.0,147.0,,17.0,428.0,1104.0,,,126.0,184.0,,213.0,27.0,436.0,1013.0,209.0,125.0,33.0,16.0,257.0,462.0,18.0,614.0,148.0,750.0,932.0,93.0,1678.0,18.0,706.0,1167.0,824.0,3065.0,1267.0,538.0,138.0,403.0,297.0,436.0,335.0,139.0,180.0,182.0,164.0,346.0,129.0,200.0,618.0,,384.0,,543.0,186.0,168.0,6663.0,183.0,622.0,651.0,547.0,242.0,133.0,186.0,457.0,485.0,158.0,152.0,645.0,16.0,189.0,30.0,191.0,268.0,15.0,151.0,749.0,335.0,1684.0,523.0,721.0,750.0,354.0,171.0,15.0,,249.0,178.0,607.0,275.0,819.0,169.0,629.0,,483.0,16.0,128.0,1094.0,326.0,923.0,1580.0,307.0,26.0,125.0,15.0,19.0,152.0,272.0,23.0,512.0,152.0,149.0,281.0,337.0,21.0,587.0,216.0,142.0,65.0,152.0,150.0,175.0,27.0,22.0,,316.0,23.0,660.0,249.0,,,211.0,275.0,,1077.0,315.0,149.0,564.0,271.0,1725.0,576.0,126.0,,838.0,16.0,402.0,136.0,15.0,2944.0,139.0,,176.0,,174.0,1401.0,27.0,2489.0,,,347.0,185.0,,383.0,141.0,22.0,177.0,,129.0,27.0,16.0,138.0,57.0,244.0,17.0,2909.0,387.0,,,126.0,273.0,,,1625.0,643.0,918.0,142.0,4577.0,285.0,19.0,20.0,21.0
1,empowerement,,,1062.0,,,,,,,,,,,,879.0,1140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.0,,,,,,,,,1175.0,,,,,,,,,,,660.0,190.0,,,1990.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1276.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1493.0,,,,,,,,,,,,,,,,1475.0,,,,,,,,,,,,,,,1031.0,,,,,,,,,,,,,,,,1020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.0,,,,,,,,,,,,,,,,1510.0,,,,,,,,,,,,,,2173.0,,,,,,,,,,,,,,1344.0,,,,,,,,,,,,,,,255.0,,,,,,,,594.0,764.0,,,,,,,882.0,,,570.0,620.0,,,,,,,,,,362.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621.0,,,,,198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.0,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250.0,,,,,,,,,,,,,,,,,,,,,,,,,,2374.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1699.0,,,,,797.0,3054.0,1579.0,246.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493.0,,,,,,,,,,,,,,,,,,,,,229.0,,,,,,,,,,,,,,,,,,,,,,,,,,,876.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2155.0,,,,,,,,,,,,,559.0,,,,,,,1892.0,,,,,,19.0,,,,,,,,,,809.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1811.0,975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1494.0,17.0,,,,,,,,,2293.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1678.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6564.0,,,,,,,,,,,,,,,,,,,17.0,,,831.0,,,,,,,,671.0,199.0,,,,,,,,,,,,,,922.0,612.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4008.0,,,,,520.0,,,,,,,,,,4627.0,1229.0,,,552.0,,,,,,,,,,
2,female stereotypes,,,,,,,,,,,,,,,,,1665.0,,,,,,564.0,,643.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8165.0,,,,,,,,,,,,,,,,,,,,,1092.0,1212.0,,,,,,,,,,,,,179.0,,,2807.0,,,,,,,,,,,,,,3666.0,,,,,,,,,,,,,,1037.0,630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1295.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,730.0,,,,,6295.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495.0,,,,,,,,,,,,,,,,,,157.0,,,,,,,,,,,,,,184.0,,,,,,,,,,,,,,,,,927.0,,,,,,,,,,,,,,,6873.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950.0,,,,,,726.0,,,,,,,,,400.0,,,2311.0,,,,,,174.0,,,,,,149.0,,,,,,,,,791.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5526.0,,,,,,,,,,,,,,1344.0,,,,2130.0,,,746.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,647.0,,,,,,,,,,,,,,,,,1154.0,,,,,,,,,,,,,786.0,,,,,41.0,,,,173.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2415.0,,,,,,134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886.0,,,,,,,,,,,,1044.0,,,,,5247.0,689.0,,,,,,,,,,431.0,,,27.0,,,,,,,,,,,,,,,1623.0,460.0,2236.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4734.0,,,,,,,,,,18.0,2194.0,,,,,,,,,,,,,,,,,,,,,,604.0,,,,,17.0,,,,,,,,,,,,620.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,994.0,,,,,,627.0,,,,,1015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1177.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5115.0,545.0,704.0,2718.0,1495.0,761.0,,,,,,,,,,,,,,,688.0,,,,,,,,,,,,,,1467.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1670.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2129.0,,,,,,,,,,,,,,,,,,,,,,,,,,2266.0,,1001.0,,,,,27.0,3326.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
