,word,rank,country,theme
224,man,1.0,All countries,No theme
147,first,2.0,All countries,No theme
204,kill,3.0,All countries,violence
105,die,4.0,All countries,violence
28,baby,5.0,All countries,female stereotypes
96,death,6.0,All countries,violence
266,police,7.0,All countries,violence
68,child,8.0,All countries,female stereotypes
94,daughter,9.0,All countries,female stereotypes
241,murder,10.0,All countries,violence
20,arrest,11.0,All countries,violence
287,rape,12.0,All countries,violence
370,time,13.0,All countries,No theme
135,family,14.0,All countries,female stereotypes
178,home,15.0,All countries,No theme
299,reveal,16.0,All countries,No theme
333,son,17.0,All countries,No theme
41,black,18.0,All countries,No theme
173,help,19.0,All countries,No theme
221,love,20.0,All countries,female stereotypes
2,accuse,21.0,All countries,No theme
95,dead,22.0,All countries,violence
186,husband,23.0,All countries,No theme
408,young,24.0,All countries,No theme
25,attack,25.0,All countries,violence
342,star,26.0,All countries,empowerement
317,sex,27.0,All countries,female stereotypes
271,pregnant,28.0,All countries,No theme
73,claim,29.0,All countries,No theme
144,fight,30.0,All countries,violence
400,win,31.0,All countries,empowerement
403,work,32.0,All countries,empowerement
46,body,33.0,All countries,female stereotypes
219,lose,34.0,All countries,No theme
323,shoot,35.0,All countries,violence
310,school,36.0,All countries,No theme
399,wife,37.0,All countries,female stereotypes
238,mom,38.0,All countries,female stereotypes
23,assault,39.0,All countries,violence
82,court,40.0,All countries,violence
177,hit,41.0,All countries,violence
211,lead,42.0,All countries,empowerement
309,save,43.0,All countries,No theme
48,boy,44.0,All countries,No theme
138,father,45.0,All countries,No theme
0,abuse,46.0,All countries,violence
49,boyfriend,47.0,All countries,No theme
65,change,48.0,All countries,No theme
40,birth,49.0,All countries,female stereotypes
146,fire,50.0,All countries,violence
365,teen,51.0,All countries,No theme
197,jail,52.0,All countries,violence
134,fall,53.0,All countries,violence
217,little,54.0,All countries,No theme
79,cop,55.0,All countries,violence
35,beat,56.0,All countries,violence
198,job,57.0,All countries,empowerement
151,force,58.0,All countries,No theme
181,hospital,59.0,All countries,violence
