,word,theme
25,abandon,No theme
33,abduct,No theme
60,abortion,empowerement
77,abuse,violence
97,accident,No theme
109,account,No theme
115,accuse,No theme
124,acid,No theme
135,act,No theme
137,action,No theme
141,activist,empowerement
143,actor,empowerement
144,actress,female stereotypes
146,actually,No theme
154,add,No theme
193,admit,No theme
198,adopt,No theme
201,adorable,female stereotypes
223,advice,No theme
238,affair,female stereotypes
239,affect,No theme
270,age,No theme
299,ahead,No theme
321,aim,No theme
334,airport,No theme
381,album,No theme
398,alia,No theme
412,alive,No theme
416,allegation,violence
417,allege,violence
419,allegedly,violence
431,allow,No theme
470,amazing,No theme
471,amazon,No theme
573,angry,No theme
603,anniversary,No theme
621,answer,No theme
631,anti,No theme
672,apologise,No theme
677,app,No theme
683,appeal,No theme
694,appoint,empowerement
764,army,No theme
775,arrest,violence
783,art,No theme
792,artist,empowerement
832,asian,No theme
851,assam,No theme
857,assault,violence
858,assembly,No theme
896,athlete,No theme
908,attack,violence
911,attempt,No theme
912,attend,No theme
956,author,empowerement
961,auto,No theme
992,avoid,No theme
1000,award,empowerement
1049,baby,female stereotypes
1081,bad,No theme
1100,bag,No theme
1112,bail,violence
1163,ban,No theme
1236,barrier,No theme
1282,battle,violence
1300,beach,No theme
1305,bear,No theme
1311,beat,violence
1316,beautiful,female stereotypes
1318,beauty,female stereotypes
1327,bed,No theme
1341,begin,No theme
1371,believe,No theme
1395,benefit,No theme
1525,bias,No theme
1532,bid,No theme
1543,bigg,No theme
1550,bike,No theme
1559,bill,No theme
1600,birth,female stereotypes
1620,black,No theme
1633,blame,No theme
1676,blood,violence
1684,blue,No theme
1694,board,No theme
1708,body,female stereotypes
1767,border,No theme
1783,boss,empowerement
1815,box,No theme
1818,boy,No theme
1821,boyfriend,No theme
1836,brain,No theme
1850,brave,No theme
1869,breast,female stereotypes
1896,bride,female stereotypes
1942,brother,No theme
1982,build,No theme
2001,bully,No theme
2035,burn,violence
2045,business,empowerement
2119,camera,No theme
2126,campaign,No theme
2138,cancer,No theme
2143,candidate,No theme
2174,captain,No theme
2194,care,female stereotypes
2195,career,empowerement
2252,caste,No theme
2300,ceiling,No theme
2302,celebrate,No theme
2306,celebrity,No theme
2323,cent,No theme
2332,century,No theme
2333,ceo,empowerement
2369,challenge,No theme
2378,champion,No theme
2379,championship,No theme
2400,change,No theme
2412,character,No theme
2454,cheat,female stereotypes
2516,chief,empowerement
2518,child,female stereotypes
2540,chinese,No theme
2559,choice,No theme
2566,choose,No theme
2589,christian,No theme
2594,christmas,No theme
2608,church,No theme
2621,cinema,No theme
2649,claim,No theme
2677,clear,No theme
2716,clothe,No theme
2734,coach,No theme
2753,code,No theme
2789,college,No theme
2802,color,No theme
2818,combat,No theme
2839,comment,No theme
2844,commission,No theme
2846,commit,female stereotypes
2860,community,No theme
2865,company,No theme
2883,complaint,No theme
2884,complete,No theme
2960,congress,No theme
3046,control,No theme
3049,controversy,No theme
3056,convert,No theme
3058,convict,violence
3066,cook,female stereotypes
3078,cop,violence
3099,coronavirus,No theme
3149,couple,No theme
3156,court,violence
3196,crash,violence
3224,crew,No theme
3227,cricket,No theme
3228,cricketer,No theme
3229,crime,violence
3235,crisis,No theme
3280,crush,No theme
3282,cry,female stereotypes
3308,culture,No theme
3314,cup,No theme
3339,custody,No theme
3344,cut,No theme
3377,dad,No theme
3401,dalit,No theme
3416,dance,No theme
3443,dark,No theme
3459,date,No theme
3462,daughter,female stereotypes
3490,dead,violence
3502,death,violence
3505,debate,No theme
3510,debut,No theme
3513,decade,No theme
3524,decision,No theme
3528,declare,No theme
3551,deepika,No theme
3571,defend,violence
3608,deliver,No theme
3609,delivery,No theme
3615,demand,No theme
3651,deny,No theme
3673,depression,No theme
3695,deserve,No theme
3700,design,No theme
3702,designer,No theme
3719,detain,No theme
3745,devi,No theme
3830,die,violence
3835,diet,No theme
3839,different,No theme
3893,director,empowerement
3925,discover,No theme
3930,discrimination,No theme
3934,disease,No theme
4001,district,No theme
4021,divorce,female stereotypes
4039,doctor,empowerement
4063,domestic,female stereotypes
4067,dominate,No theme
4076,donald,No theme
4077,donate,No theme
4088,door,No theme
4109,double,No theme
4124,dowry,No theme
4131,drag,No theme
4146,draw,No theme
4152,dream,empowerement
4157,dress,female stereotypes
4164,drink,No theme
4167,driver,No theme
4174,drown,violence
4176,drug,violence
4179,drunk,No theme
4223,dump,No theme
4273,early,No theme
4275,earn,No theme
4290,easy,female stereotypes
4323,education,empowerement
4355,elderly,No theme
4357,elect,No theme
4358,election,No theme
4419,embrace,No theme
4439,emotional,female stereotypes
4449,employee,empowerement
4452,empower,empowerement
4454,empowerment,No theme
4486,engineer,No theme
4488,england,No theme
4529,entrepreneur,empowerement
4532,entry,No theme
4549,equal,empowerement
4551,equality,empowerement
